ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R1185,Delhi-NCR,13,4,Good,Smartphone,4,1,8,1,7,2,3,Decreased,0,Reading,1,1,School/college,,,
R1186,Delhi-NCR,15,5,Average,Smartphone,2,1,13,1,5,1,2,Remain Constant,0,Online surfing,0,1,School/college,,,
R1187,Delhi-NCR,12,6,Excellent,Laptop/Desktop,3,1,9,4,5,3,4,Remain Constant,0,Talking to your relatives,1,1,School/college,,,
R1188,Delhi-NCR,13,8,Average,Laptop/Desktop,2,1,7,1,7,1,3,Decreased,0,Cooking,1,1,Travelling,,,
R1189,Delhi-NCR,15,5,Good,Tablet,4,1,7,2,7,0,4,Increased,0,Social Media,0,1,Travelling,,,
R1190,Delhi-NCR,13,3,Very poor,Smartphone,1,0.5,8,3,5,1,3,Remain Constant,0,Watching 5 ,0,0,School/college,,,
R1191,Delhi-NCR,12,3,Good,Smartphone,4,1,8,1,6,2,3,Decreased,0,Dancing,1,1,Travelling,,,
R1192,Delhi-NCR,14,6,Average,Smartphone,4,1,9,1,7,1,4,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R1193,Delhi-NCR,13,4,Average,Smartphone,0,0.5,8,3,5,2,4,Decreased,0,Online gaming,0,1,School/college,,,
R1194,Delhi-NCR,14,5,Excellent,Laptop/Desktop,3.5,1,8,0.5,5,1,4,Remain Constant,0,Reading books,1,1,School/college,,,
R1195,Delhi-NCR,13,5,Good,Tablet,2,0.5,7,1,7,1,3,Remain Constant,0,Talking,1,1,School/college,,,
,,,,,,,0.25,8,,,,,,0,,,1,,,,
